action1,action2,benchmark_count,record_count,avg_speedup_vs_action2,min_speedup_vs_action2,max_speedup_vs_action2
function(interleaved-access),function(slp-vectorizer),29,29,0.092087081,0.016508824,0.224524409
function(lower-switch),function(slp-vectorizer),29,29,0.092054667,0.015787372,0.247832303
simplify-type-tests,function(loop(loop-bound-split)),29,29,0.091992250,0.015552270,0.321105236
openmp-opt,function(slp-vectorizer),29,29,0.091714580,0.011385999,0.218090874
embed-bitcode,function(typepromotion),29,29,0.091587597,0.011504544,0.266012075
function(infer-address-spaces),function(loop(extra-simple-loop-unswitch-passes)),29,29,0.091306524,0.011370134,0.249793146
strip-nondebug,function(loop(indvars)),29,29,0.090520522,0.010689709,0.322035659
module-inline,function(loop(indvars)),29,29,0.090506900,0.012934133,0.333210804
function(irce),function(loop(indvars)),29,29,0.090470268,0.010115346,0.317002847
strip-debug-declare,function(typepromotion),29,29,0.090073824,0.013604803,0.314295897
function(lower-constant-intrinsics),function(slp-vectorizer),29,29,0.089886653,0.010217080,0.221466604
function(objc-arc-expand),function(loop-unroll),29,29,0.089303533,0.020988397,0.263871551
function(float2int),function(loop(loop-bound-split)),29,29,0.089004059,0.013961558,0.286382017
function(kernel-info),function(loop(indvars)),29,29,0.088858073,0.010516425,0.319330625
strip,function(loop(loop-bound-split)),29,29,0.088619089,0.011070656,0.336483532
strip-dead-debug-info,function(loop(loop-bound-split)),29,29,0.088444880,0.012389084,0.333993802
function(consthoist),function(loop(loop-simplifycfg)),29,29,0.088428015,0.017908024,0.282603177
inliner-wrapper,function(loop(loop-bound-split)),29,29,0.088403288,0.011893015,0.307936380
annotation2metadata,function(hardware-loops),29,29,0.088331515,0.012423978,0.241412794
function(vector-combine),function(loop(loop-simplifycfg)),29,29,0.088215484,0.010805658,0.235326848
inliner-wrapper,function(loop-unroll),29,29,0.088057769,0.011453167,0.297312330
cgscc(argpromotion),function(hardware-loops),29,29,0.087994083,0.012685721,0.206926316
function(wasm-eh-prepare),function(typepromotion),29,29,0.087799701,0.013657048,0.225096382
function(loop(loop-idiom-vectorize)),function(loop(loop-simplifycfg)),29,29,0.087734716,0.011302847,0.250835675
partial-inliner,function(loop(indvars)),29,29,0.087542111,0.010609974,0.323030718
function(objc-arc),function(loop-unroll),29,29,0.086971207,0.011353885,0.270345325
forceattrs,function(loop(indvars)),29,29,0.086634146,0.012333120,0.294477188
function(sccp),function(typepromotion),29,29,0.086546706,0.010853846,0.303513129
cgscc(coro-annotation-elide),function(loop(loop-bound-split)),29,29,0.086208255,0.017232379,0.247836060
cross-dso-cfi,function(loop(loop-bound-split)),29,29,0.085857811,0.012781775,0.295972205
function(redundant-dbg-inst-elim),function(loop(loop-bound-split)),29,29,0.085854217,0.011013330,0.270499226
openmp-opt,function(speculative-execution),29,29,0.084979981,0.015468783,0.208795883
cgscc(function-attrs),function(slp-vectorizer),29,29,0.084198393,0.013492668,0.230287971
globaldce,function(lower-matrix-intrinsics),29,29,0.083141564,0.015768431,0.207567265
fatlto-cleanup,function(slp-vectorizer),29,29,0.082756768,0.011756202,0.267010888
function(irce),function(loop(loop-bound-split)),29,29,0.082660843,0.010380144,0.347160383
function(nary-reassociate),function(slp-vectorizer),29,29,0.082333872,0.011807905,0.244094945
jmc-instrumenter,function(slp-vectorizer),29,29,0.081921291,0.010125107,0.221461481
function(lower-guard-intrinsic),function(slp-vectorizer),29,29,0.081766152,0.010030605,0.236564694
function(scalarize-masked-mem-intrin),function(nary-reassociate),29,29,0.081603666,0.010933232,0.247477583
constmerge,function(make-guards-explicit),29,29,0.081324579,0.012632499,0.315604582
function(declare-to-assign),function(loop(loop-simplifycfg)),29,29,0.081173204,0.016389371,0.249262113
wholeprogramdevirt,function(speculative-execution),29,29,0.080574218,0.011498524,0.223060971
function(dfa-jump-threading),function(nary-reassociate),29,29,0.080340866,0.010165193,0.206973170
function(dwarf-eh-prepare),function(lower-atomic),29,29,0.079755294,0.012248794,0.251338820
name-anon-globals,function(slsr),29,29,0.079384442,0.011214890,0.229237463
function(loop(canon-freeze)),function(lower-atomic),29,29,0.078880145,0.017458652,0.238774155
cgscc(function-attrs),function(lower-matrix-intrinsics),29,29,0.078447705,0.013248855,0.206096322
function(loop-data-prefetch),function(loop-load-elim),29,29,0.078370241,0.010007979,0.238645892
forceattrs,function(slp-vectorizer),29,29,0.077016494,0.010951580,0.224812104
function(loop-data-prefetch),function(place-safepoints),29,29,0.075850125,0.014337778,0.298118054
hipstdpar-math-fixup,function(prof-inject),29,29,0.075062273,0.011379829,0.244480209
annotation2metadata,function(slp-vectorizer),29,29,0.073398409,0.018489873,0.210653950
mergefunc,function(loop-distribute),29,29,0.071002920,0.012402105,0.229993916
openmp-opt,function(adce),29,29,0.070877135,0.011059505,0.201382151
canonicalize-aliases,function(slp-vectorizer),29,29,0.065677311,0.010711944,0.178170940
function(scalarizer),ctx-prof-flatten,28,28,0.160314264,0.011165048,0.407239538
function(transform-warning),ctx-prof-flatten,28,28,0.156031588,0.011617714,0.372955692
function(lower-allow-check),ctx-prof-flatten,28,28,0.151877817,0.013336671,0.396574561
cgscc(function-attrs),ctx-prof-flatten,28,28,0.150654821,0.010211432,0.405895045
wholeprogramdevirt,annotation2metadata,28,28,0.147618382,0.013930511,0.414083945
function(simplifycfg),annotation2metadata,28,28,0.145274717,0.014302089,0.426485343
inliner-wrapper,annotation2metadata,28,28,0.143442172,0.011071723,0.406642719
function(lower-constant-intrinsics),ctx-prof-flatten,28,28,0.142946764,0.012359424,0.358677845
function(lower-matrix-intrinsics),ctx-prof-flatten,28,28,0.142844946,0.010037215,0.381084377
function(dse),annotation2metadata,28,28,0.142007929,0.011868357,0.357042963
embed-bitcode,annotation2metadata,28,28,0.141987754,0.014966422,0.412688534
function(loop(simple-loop-unswitch)),annotation2metadata,28,28,0.140746757,0.010004625,0.353583328
function(loop(loop-instsimplify)),coro-early,28,28,0.140225665,0.010743236,0.372217597
function(infer-address-spaces),hipstdpar-interpose-alloc,28,28,0.139703024,0.013813843,0.347638727
lower-emutls,annotation2metadata,28,28,0.138556689,0.017726528,0.427097425
function(assume-simplify),annotation2metadata,28,28,0.137383047,0.014392370,0.391378687
coro-early,annotation2metadata,28,28,0.136213368,0.012257208,0.425215118
function(objc-arc-contract),annotation2metadata,28,28,0.134558502,0.016024715,0.389997640
rewrite-symbols,annotation2metadata,28,28,0.134386431,0.012342724,0.365729826
rewrite-statepoints-for-gc,annotation2metadata,28,28,0.134025602,0.021225969,0.384208082
lower-emutls,inliner-wrapper-no-mandatory-first,28,28,0.133029505,0.012808607,0.351374890
function(cfguard),annotation2metadata,28,28,0.131896669,0.010933946,0.438739367
partial-inliner,assign-guid,28,28,0.131837859,0.011223635,0.369441607
globalopt,canonicalize-aliases,28,28,0.131392228,0.015913624,0.384307658
function(lower-switch),function(loop(loop-deletion)),28,28,0.131275924,0.026177393,0.357337495
simplify-type-tests,annotation2metadata,28,28,0.131206014,0.012406387,0.402484940
function(lower-allow-check),annotation2metadata,28,28,0.130119709,0.011011928,0.390472873
function(loop(loop-rotate)),function(loop(loop-deletion)),28,28,0.129919996,0.013386677,0.317874808
declare-runtime-libcalls,coro-early,28,28,0.128523650,0.010279826,0.407724047
function(inject-tli-mappings),annotation2metadata,28,28,0.128199538,0.012594115,0.369163654
function(ee-instrument),function(loop(loop-deletion)),28,28,0.127649993,0.012572654,0.288276531
function(infer-alignment),annotation2metadata,28,28,0.124721360,0.010622699,0.384871296
openmp-opt-postlink,globalsplit,28,28,0.124463169,0.013214948,0.344504116
function(gc-lowering),function(loop(loop-deletion)),28,28,0.123741612,0.010456579,0.359032885
strip-dead-debug-info,inliner-wrapper-no-mandatory-first,28,28,0.123464453,0.010274180,0.353235260
function(separate-const-offset-from-gep),hipstdpar-math-fixup,28,28,0.123172644,0.010345907,0.333012025
lower-ifunc,function(loop(loop-deletion)),28,28,0.122622658,0.019511513,0.267356253
function(loop(loop-deletion)),function(loop(loop-deletion)),28,28,0.122378977,0.018554502,0.328180258
simplify-type-tests,function(loop(loop-term-fold)),28,28,0.122025669,0.014686977,0.258259242
function(expand-fp),annotation2metadata,28,28,0.121408264,0.010452203,0.394366978
function(loop(loop-versioning-licm)),function(loop(loop-deletion)),28,28,0.121359311,0.015816514,0.326551800
function(expand-reductions),function(loop(loop-term-fold)),28,28,0.121123349,0.019285585,0.233655978
